"","rowname","ADA","ALGO","ANKR","ATOM1","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CEL","CHZ","CRO","DAI1","DASH","DCR","DGB","DOGE","ENJ","EOS","ETC","ETH","FIL","FTM","FTT1","HBAR","HEX","HOT1","ICX","IOST","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","ONE2","ONT","QNT","QTUM","RUNE","RVN","SC","SNX","STX1","TFUEL","THETA","TRX","TUSD","USDC","USDT","VET","WAVES","WAXP","XEM","XLM","XMR","XRP","XTZ","ZEC","ZEN","ZIL","ZRX"
"1","AAPL",0.085,0.076,0.025,0.045,0.057,0.055,0.03,0.038,0.056,-0.03,0.034,0.019,-0.021,0.017,0.032,-0.053,0.0041,0.053,-0.037,0.051,0.038,0.05,0.086,0.029,-0.022,0.024,-0.038,0.056,0.047,-0.064,-0.053,0.039,0.0039,-0.085,-0.048,0.047,0.074,0.075,-0.1,0.057,-0.032,0.025,0.017,0.021,0.05,0.022,-0.061,0.017,0.053,0.0029,0.0088,-0.043,0.0069,0.023,-0.0035,0.028,-0.02,-0.056,-0.031,0.015,-0.008,0.043,0.036,0.11,0.071,0.1,0.054,0.067,0.058,0.11,0.015
"2","ACN",0.08,0.051,0.00049,0.081,0.12,0.018,0.085,0.055,0.011,-0.027,0.032,0.07,0.011,0.048,-0.018,-0.034,0.055,0.021,-0.026,0.024,0.024,0.043,0.073,0.054,-0.086,0.08,0.089,-0.0057,-0.027,0.026,-0.068,0.069,-0.039,0.033,0.045,0.041,0.071,0.14,-0.069,0.046,0.028,0.024,0.092,0.04,0.04,0.034,-0.048,0.057,0.053,0.049,0.021,0.064,0.072,0.026,0.015,0.073,0.0039,-0.034,0.06,0.058,-0.025,0.11,0.062,0.077,0.067,0.067,0.12,0.082,0.067,0.11,0.00044
"3","ADBE",0.081,0.064,-0.058,0.024,0.047,0.007,0.073,0.029,0.0045,-0.037,0.031,0.074,-0.068,-0.033,-0.084,-0.046,0.037,-0.023,0.063,0.025,-0.017,0.075,0.063,0.055,0.012,0.059,0.0018,0.034,0.012,-0.052,-0.059,0.053,-0.0096,0.0069,0.028,0.054,0.059,0.092,-0.043,0.075,0.0011,0.077,0.01,0.02,0.12,-0.012,0.028,0.0084,0.04,-0.011,0.038,0.088,0.034,0.069,0.018,0.075,-0.0054,-0.011,-0.033,0.0013,-0.00079,0.11,0.078,0.071,0.044,0.059,0.082,0.11,0.12,0.067,0.023
"4","AMAT",0.096,0.053,0.031,0.067,0.05,-0.0023,0.019,0.04,0.11,-0.05,0.01,-0.035,-0.023,0.0018,0.073,-0.014,-0.0023,0.076,0.0068,0.064,0.044,-0.008,0.05,0.0074,-0.034,0.079,0.048,-0.0022,-0.043,0.029,0.0078,0.024,0.014,-0.046,0.0037,0.031,0.057,0.084,-0.031,0.089,0.0055,0.0096,-0.012,0.042,0.07,-0.024,-0.04,0.014,0.035,0.021,0.041,0.09,0.044,0.011,0.024,0.0084,-0.022,-0.01,-0.032,0.05,-0.016,0.041,0.09,0.083,0.039,0.046,0.034,0.063,0.067,0.072,-0.024
"5","AMD",0.11,0.047,-0.035,-0.0085,0.04,0.073,0.049,0.06,0.057,-0.0039,0.011,-0.1,-0.00023,0.018,0.071,-0.019,0.01,-0.041,0.013,0.12,0.028,0.045,0.073,0.053,0.062,0.051,0.03,0.033,0.038,0.012,0.021,0.065,0.051,-0.056,0.0066,0.053,0.059,0.036,-0.063,0.096,-0.027,-0.0044,0.012,0.021,0.039,0.019,0.027,0.00079,0.056,-0.015,0.052,0.15,-0.021,0.0036,-0.035,0.019,-0.015,0.0073,-0.089,0.056,-0.063,0.038,0.031,0.063,0.026,0.12,0.18,0.088,0.08,0.068,-0.027
"6","AMZN",0.084,0.056,0.0023,0.087,0.021,0.044,0.046,0.046,0.00057,0.0012,0.069,0.05,0.044,-0.0023,0.018,-0.05,0.033,0.024,-0.031,0.046,-0.021,0.059,0.075,0.066,0.018,0.067,-0.042,-0.014,0.0051,-0.025,-0.059,0.062,-0.094,0.0015,-0.069,0.014,-0.013,0.1,-0.11,0.073,-0.018,0.047,0.012,0.024,0.041,-0.00042,-0.017,0.016,0.03,-0.019,0.038,-0.018,-0.024,0.062,-0.0069,0.063,-0.035,-0.042,-0.036,-0.041,-0.017,0.1,0.055,0.12,0.067,0.11,0.093,0.1,0.078,0.063,0.021
"7","ASML",0.15,0.053,0.0043,0.11,0.14,0.069,0.087,0.11,0.092,0.014,0.034,0.05,0.034,-0.068,0.083,-0.036,0.072,0.088,0.031,0.11,0.089,0.09,0.11,0.098,-0.057,0.1,0.036,-0.0033,0.028,0.031,-0.027,0.066,0.011,0.028,0.044,0.13,0.063,0.083,-0.055,0.15,-0.019,0.15,0.083,0.077,0.067,0.096,-0.014,0.066,-0.01,0.042,0.088,0.08,-0.013,0.046,0.08,0.11,0.0013,-0.013,0.022,0.0059,0.032,0.062,0.15,0.14,0.089,0.16,0.081,0.15,0.072,0.11,0.028
"8","AVGO",0.078,0.027,-0.0054,0.068,0.09,0.024,0.023,0.017,0.07,-0.056,0.00086,-0.034,-0.006,-7e-04,0.087,0.015,0.0048,-0.037,0.021,0.056,0.041,0.045,0.018,0.009,-0.046,0.048,0.021,0.017,0.021,-0.037,-0.026,0.02,0.012,-0.056,0.011,0.039,-0.027,0.0075,-0.1,0.041,-0.033,0.086,-0.001,-0.012,0.049,0.01,0.0091,-0.013,0.025,0.0057,-0.044,0.066,-0.038,-0.034,-0.04,0.021,-0.0085,0.0085,0.03,0.059,0.0024,0.02,0.0043,0.073,0.047,0.095,0.025,0.051,0.1,0.082,-0.0051
"9","BABA",0.12,0.084,-0.03,0.14,0.11,0.025,0.074,0.053,0.096,-0.0097,0.061,0.0041,-0.0035,-0.024,-0.042,-0.067,0.043,0.056,0.004,0.054,0.055,0.072,0.1,0.044,0.034,0.086,0.0099,0.0097,0.037,-0.015,-0.031,0.11,-0.021,-0.034,-0.024,0.048,0.017,0.11,-0.11,0.087,0.002,0.13,0.022,0.041,0.062,0.031,-0.026,0.054,0.072,0.0069,-0.0046,-0.00042,-0.024,0.024,0.093,0.081,-0.065,-0.011,-0.019,0.054,0.0085,0.053,0.077,0.12,0.093,0.17,0.066,0.09,0.076,0.076,0.08
"10","CRM",0.038,0.072,-0.078,0.055,0.057,0.036,0.029,-0.019,-0.051,-0.045,0.035,0.026,-0.097,-0.045,0.014,0.018,0.013,-0.02,-0.038,0.0097,-0.024,0.039,0.028,0.0024,-0.02,-0.1,-0.013,0.0062,-0.022,-0.036,-0.045,0.0022,-0.034,0.05,-0.045,-0.0049,0.047,-0.013,-0.11,0.037,-0.0058,0.03,-0.0062,-0.047,0.048,-0.017,0.074,-0.029,0.031,-0.045,0.034,0.006,0.027,0.019,-0.025,0.039,0.045,-0.0098,-0.024,-0.044,-0.058,0.051,0.053,0.031,-0.024,0.044,0.025,0.057,0.035,0.035,-0.0022
"11","CSCO",0.017,-0.036,-0.091,0.09,0.025,0.047,0.047,0.013,-0.0045,-0.038,0.022,-0.051,-0.015,-0.033,0.0087,-0.046,0.0096,-0.039,-0.069,0.026,0.015,0.033,0.032,0.054,0.00064,0.014,0.011,-0.038,0.053,-0.041,-0.0035,0.017,-0.061,-0.00046,-0.032,0.048,0.035,0.052,-0.11,-0.041,-0.061,-0.026,-0.021,-0.066,-0.023,0.0069,0.03,-0.033,-0.07,-0.044,0.0046,0.0081,0.071,0.0098,0.017,0.0023,-0.036,-0.056,-0.11,-0.051,0.0047,0.026,0.09,0.039,0.012,-5.9e-05,0.0087,0.028,-0.0072,-0.041,-0.12
"12","FB",0.1,0.06,-0.042,0.035,0.052,0.073,0.14,0.07,0.051,0.073,0.087,0.006,-0.0063,0.0068,-0.046,0.0031,0.055,0.049,0.033,0.1,0.049,0.11,0.086,0.099,-0.094,0.037,0.019,-0.014,-0.0043,0.045,-0.098,0.11,-0.081,0.054,0.0069,0.1,-0.013,0.12,-0.12,0.094,0.027,0.059,0.09,0.068,0.054,0.069,-0.0038,0.05,0.077,-0.05,0.039,0.015,0.056,0.032,0.043,0.11,-0.011,0.014,0.04,0.012,-0.031,0.0062,0.034,0.088,0.11,0.11,0.048,0.1,0.035,0.072,0.053
"13","GOOGL",0.074,0.036,-0.015,0.032,0.1,0.012,0.11,0.04,-0.0025,-0.015,0.037,0.042,0.0085,-0.032,0.044,-0.0074,0.033,0.05,0.052,0.068,0.048,0.048,0.09,0.052,-0.044,0.054,0.033,0.0013,0.0048,-0.033,-0.034,0.045,-0.033,-0.022,0.038,0.027,0.014,0.096,-0.1,0.12,0.039,0.028,0.018,0.035,0.041,0.0022,-0.034,0.016,0.012,-0.031,0.0064,-0.018,0.017,0.024,-0.0073,0.038,0.0016,-0.031,-0.013,-0.025,0.0054,0.064,0.075,0.1,0.078,0.054,0.081,0.11,0.071,0.07,0.048
"14","IBM",0.04,-0.054,-0.1,0.12,0.094,0.011,0.031,-0.00078,0.055,-0.054,-0.048,-0.033,-0.033,-0.027,0.022,0.017,0.0062,-0.039,-0.052,-0.044,-0.026,0.0049,0.0089,0.021,-0.077,-0.02,0.011,-0.067,0.0024,-0.08,-0.065,0.0016,-0.02,0.0077,-0.059,0.036,0.022,0.0084,-0.11,0.0071,0.016,-0.0055,0.023,-0.02,-0.062,0.013,-0.06,-0.0062,-0.041,-0.065,-0.059,-0.063,-0.038,-0.042,0.0025,0.048,-0.048,-0.077,-0.027,-0.046,-0.0078,0.054,-0.039,0.055,0.014,-0.0065,0.03,0.0064,0.003,0.018,-0.0085
"15","INTC",0.14,0.087,0.012,0.11,0.11,0.15,0.087,0.1,0.17,0.081,0.069,0.066,-0.01,0.094,0.04,-0.012,0.094,0.11,0.061,0.083,0.069,0.11,0.12,0.11,0.078,0.08,0.04,0.063,-0.0014,0.11,0.077,0.11,0.00031,0.029,0.069,0.11,0.13,0.15,-0.023,0.11,0.09,0.11,0.12,0.063,0.11,0.1,0.079,0.059,0.054,0.052,0.05,0.054,0.022,0.062,0.028,0.11,-0.14,-0.098,0.011,0.081,0.021,0.081,0.084,0.13,0.09,0.091,0.095,0.16,0.013,0.11,0.032
"16","INTU",0.087,0.039,-0.071,0.094,0.079,0.078,0.16,0.063,-0.014,0.017,0.055,0.1,-0.018,-0.039,0.0082,0.013,0.066,0.051,0.051,0.067,-0.014,0.074,0.11,0.081,-0.084,0.096,0.054,-0.058,-0.012,0.035,-0.0045,0.056,-0.037,0.076,0.095,0.12,0.059,0.098,-0.06,0.064,0.048,0.096,0.083,0.041,0.051,0.064,0.058,0.063,-0.0059,0.094,0.091,0.037,0.11,0.24,0.045,0.1,-0.072,0.004,0.047,0.069,-0.043,0.094,0.12,0.09,0.064,0.081,0.13,0.11,0.078,0.11,0.064
"17","MSFT",0.088,0.047,-0.024,0.026,0.074,0.061,0.072,0.05,0.019,-0.037,0.033,0.1,-0.026,-0.048,0.017,-0.0094,0.035,0.024,-0.033,0.032,0.049,0.039,0.064,0.063,-0.031,0.027,0.031,0.00077,-0.014,-0.049,-0.038,0.0011,-0.0099,0.023,0.02,0.041,0.053,0.11,-0.051,0.09,-0.01,0.043,0.0014,0.011,0.047,-0.0072,0.018,-0.013,0.023,-0.013,0.011,0.03,0.0067,0.02,-0.015,0.073,-0.037,-0.075,-0.067,-0.017,-0.0076,0.13,0.11,0.12,0.026,0.088,0.1,0.089,0.071,0.069,0.04
"18","NFLX",0.016,0.082,-0.1,0.079,-0.042,-0.029,0.0087,-0.0096,-0.0095,-0.078,0.043,-0.008,-0.091,0.0088,-0.063,-0.016,-0.0085,-0.013,0.024,0.041,-0.0067,0.0096,-0.037,0.0011,-0.0099,-0.0074,-0.022,0.048,-0.038,-0.061,-0.056,0.089,-0.074,-0.026,-0.067,-0.021,0.072,0.049,-0.074,-0.034,-0.058,0.015,-0.098,-0.038,0.11,-0.021,0.041,-0.063,0.11,0.0081,-0.018,-0.025,0.021,0.033,0.061,0.0043,-0.013,0.0079,-0.09,-0.02,-0.03,0.006,9.6e-06,0.00037,-0.035,0.033,0.039,0.044,0.082,0.093,-0.017
"19","NOW",0.11,0.09,-0.037,0.041,0.046,0.049,0.053,0.045,0.045,-0.009,0.086,0.042,-0.031,-0.092,0.0043,0.027,0.048,0.016,0.04,0.035,-0.0024,0.092,0.073,0.069,-0.02,0.027,0.037,-0.014,-0.00062,-0.0042,-0.041,0.061,0.022,0.03,0.0015,0.082,0.052,0.062,-0.11,0.097,-0.034,0.041,0.048,0.018,0.086,0.031,0.077,0.024,0.053,0.021,0.084,0.042,-0.012,0.065,0.0012,0.075,-0.017,-0.04,-0.072,-0.018,-0.035,0.042,0.035,0.067,0.019,0.12,0.082,0.087,0.067,0.03,0.052
"20","NVDA",0.063,0.023,-0.049,-0.0059,0.068,0.027,0.062,0.04,0.057,-0.025,0.0049,-0.014,0.0064,0.021,0.087,-0.025,-0.019,-0.031,-0.0078,0.02,-0.0049,0.014,0.024,0.027,0.024,0.023,0.0078,0.041,-0.012,0.015,-0.051,0.032,-0.035,-0.034,-0.031,0.021,0.025,0.039,-0.069,0.067,0.022,0.006,-0.013,-0.026,0.081,0.026,0.032,-0.015,0.07,-0.069,-0.0049,0.019,-0.0085,-0.019,-0.056,0.0078,-0.083,-0.053,-0.07,-0.027,-0.13,0.039,0.012,0.067,0.02,0.041,0.07,0.051,0.038,0.022,-0.06
"21","ORCL",0.054,0.077,-0.076,0.061,0.084,0.013,0.085,0.069,0.044,-0.011,0.059,-0.073,0.0028,-0.051,0.0027,0.076,0.007,0.0051,-0.053,0.05,0.047,0.048,0.047,0.073,-0.021,0.051,-0.012,-0.018,0.016,-0.045,-0.023,0.054,-0.023,0.1,0.023,0.045,0.068,0.056,-0.12,0.029,0.07,0.039,-0.0038,0.029,0.012,0.0094,0.067,0.018,0.036,0.0017,-0.01,-0.0047,0.011,0.0047,0.032,0.077,-0.029,-0.03,0.0044,-0.0016,-0.06,0.0013,0.011,0.05,0.045,0.049,0.083,0.015,0.078,0.061,0.014
"22","QCOM",0.11,0.039,0.1,0.012,0.17,0.041,0.081,0.097,0.06,0.065,0.11,0.039,0.072,-0.02,0.014,0.008,0.059,0.098,0.034,0.12,0.045,0.065,0.12,0.081,0.061,0.051,0.034,0.0073,-0.015,0.033,0.044,0.062,0.0093,-0.041,0.024,0.043,0.005,0.13,-0.091,0.15,0.07,0.11,0.047,0.096,0.031,0.07,-0.042,0.092,0.027,0.082,0.0056,-0.062,0.059,-0.017,0.12,0.05,0.077,0.058,0.12,0.082,0.073,0.066,0.06,0.12,0.14,0.13,0.17,0.14,0.093,0.077,0.091
"23","SAP",0.014,0.014,-0.067,0.0047,0.034,-0.011,0.028,-0.032,-0.006,-0.049,-0.063,-0.045,-0.038,0.013,-0.035,0.039,-0.028,0.0055,-0.085,-0.011,-0.024,-0.025,-0.024,-0.0092,0.057,0.042,0.084,0.018,-0.022,-0.0074,-0.051,-0.054,0.035,0.023,-0.095,0.0012,0.023,0.025,-0.091,-0.019,-0.036,-0.034,-0.072,-0.059,0.032,-0.017,-0.062,-0.036,0.042,-0.092,-0.026,0.032,-0.027,-0.037,-0.098,-0.048,0.055,-0.024,0.049,-0.057,-0.16,-0.06,-0.012,-0.018,-0.011,-0.00051,-0.072,0.022,0.015,-0.025,-0.064
"24","SNOW",0.12,0.15,-0.021,0.12,0.025,0.086,0.17,0.094,0.017,0.039,0.071,0.063,0.012,-0.071,-0.028,-0.053,0.074,0.099,0.12,0.042,0.07,0.1,0.12,0.11,0.025,0.043,0.045,-0.0033,-0.0076,0.03,-0.038,0.034,4e-04,0.025,0.072,0.11,0.04,0.12,0.013,0.061,-0.031,0.086,0.06,0.078,0.1,0.02,0.057,0.055,0.021,0.082,0.15,0.11,-0.0064,0.059,0.0064,0.086,0.026,0.048,0.06,-0.055,0.022,0.16,0.14,0.12,0.096,0.11,0.11,0.12,0.11,0.11,0.11
"25","SONY",0.0084,0.056,0.011,0.1,0.056,0.0013,0.0043,0.053,-0.064,0.0086,0.0047,0.038,0.021,-0.0031,0.024,-0.05,0.07,0.022,-0.0043,0.013,0.031,0.098,0.03,0.092,-0.037,-0.01,0.023,0.015,0.0092,-0.06,-0.08,0.03,-0.0018,-0.0076,-0.089,0.05,0.014,0.055,0.017,0.038,-0.048,0.051,0.013,0.017,0.031,-8.1e-05,-0.058,-4.3e-05,0.016,-0.023,0.0022,-0.015,-0.018,0.092,0.053,0.045,0.095,0.064,0.076,-0.021,-0.064,0.095,0.14,0.11,0.097,0.081,0.062,0.082,0.13,0.021,0.017
"26","SQ",0.095,0.0085,-0.13,0.071,0.031,0.002,0.052,0.043,0.017,-0.032,0.057,-0.014,-0.049,-0.045,0.026,0.051,0.07,0.046,0.04,0.043,0.039,0.048,0.069,0.045,-0.0032,0.036,0.05,0.017,-0.02,0.084,0.028,0.011,0.034,0.03,-0.0052,0.067,0.0033,0.065,-0.07,0.061,0.033,0.085,0.032,0.0031,0.038,0.028,-0.02,0.0049,-0.0063,-0.0098,0.053,0.16,-0.002,0.036,-0.049,0.071,0.039,0.013,0.042,0.036,-0.069,0.0061,0.094,0.12,0.043,0.085,0.083,0.088,0.12,0.092,0.06
"27","TEAM",0.12,0.023,-0.058,0.03,0.069,0.11,0.039,0.046,-0.016,0.055,0.11,0.09,-0.07,-0.078,0.029,0.05,0.065,0.058,0.0042,0.043,0.02,0.11,0.084,0.09,-0.00067,0.069,0.05,-0.061,-0.012,0.023,-0.067,0.087,-0.00097,0.055,0.036,0.087,0.018,0.044,-0.047,0.093,0.0032,0.043,0.056,0.058,0.026,0.024,0.041,0.051,-0.016,0.036,0.086,0.054,-0.0025,0.044,-0.038,0.1,0.005,-0.014,-0.024,-0.016,0.065,0.067,0.1,0.076,0.066,0.12,0.069,0.11,0.17,0.033,0.023
"28","TSLA",0.14,0.16,0.097,0.026,0.075,0.13,0.026,0.12,0.11,0.1,0.13,0.092,-0.0011,0.16,-0.037,-0.082,0.072,0.065,0.094,0.068,0.035,0.13,0.11,0.1,0.0067,0.078,0.012,0.15,0.06,0.081,0.0058,0.11,-0.015,0.11,0.046,0.08,0.14,0.13,0.055,0.12,0.078,0.038,0.11,0.1,0.15,0.075,0.056,0.12,0.18,0.0043,0.11,0.12,0.065,0.039,0.08,0.15,-0.1,0.07,0.046,0.11,0.1,0.089,0.08,0.12,0.11,0.18,0.16,0.096,0.096,0.15,0.14
"29","TSM",0.028,0.06,0.024,0.016,0.099,-0.0057,0.047,-0.018,0.069,-0.097,0.027,0.017,-0.046,0.042,0.0064,-0.051,-0.022,-0.06,0.0049,0.021,0.013,-0.0027,0.047,-0.037,-0.065,0.046,0.032,0.075,0.03,-0.039,-0.041,0.015,-0.0072,-0.14,-0.034,0.005,0.038,0.019,-0.09,0.036,-0.035,0.043,-0.0099,-0.048,0.065,-0.0024,-0.12,-0.063,-0.0033,0.025,-0.0027,0.058,-0.081,0.067,0.0078,0.00043,-0.074,-0.077,-0.11,-0.02,-0.01,0.047,0.011,0.081,0.0024,0.077,0.071,0.025,-0.0047,0.04,0.017
"30","TXN",0.11,0.042,-0.043,0.092,0.082,0.08,0.077,0.071,0.14,0.0074,0.029,-0.015,0.039,0.03,0.025,-0.055,0.013,0.0054,0.051,0.092,0.032,0.063,0.065,0.045,0.043,0.1,0.18,-0.023,-0.022,0.032,0.0084,0.095,0.024,-0.04,0.00099,0.086,0.046,0.041,-0.049,0.061,0.022,0.067,0.031,0.027,0.067,0.056,-0.005,0.022,-0.014,0.04,0.016,0.096,-0.033,0.0034,-0.039,0.041,-0.054,-0.023,-0.031,0.025,-0.015,0.052,0.072,0.074,0.066,0.088,0.029,0.076,0.096,0.064,-0.038
